,probing_dataset,model_name,encoding,control_task_type,sample_size,seed,num_hidden_layers,score
0,fuse-org-negation,facebook__bart-base,full,NONE,4048,0,0,0.3916398584842682
1,fuse-org-negation,facebook__bart-base,full,NONE,4048,0,0,0.3916398584842682
2,fuse-org-negation,facebook__bart-base,full,NONE,4048,1,0,0.3915139734745025
3,fuse-org-negation,facebook__bart-base,full,NONE,4048,1,0,0.3915139734745025
4,fuse-org-negation,facebook__bart-base,full,NONE,4048,4,0,0.3918918967247009
5,fuse-org-negation,facebook__bart-base,full,NONE,4048,4,0,0.3918918967247009
6,fuse-org-negation,facebook__bart-base,full,NONE,4048,3,0,0.3921315670013428
7,fuse-org-negation,facebook__bart-base,full,NONE,4048,3,0,0.3921315670013428
8,fuse-org-negation,facebook__bart-base,full,NONE,4048,2,0,0.3940375745296478
9,fuse-org-negation,facebook__bart-base,full,NONE,4048,2,0,0.3940375745296478
10,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,0,0,0.3970440030097961
11,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,0,0,0.3970440030097961
12,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,1,0,0.3915139734745025
13,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,1,0,0.3915139734745025
14,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,4,0,0.3915139734745025
15,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,4,0,0.3915139734745025
16,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,3,0,0.3916398584842682
17,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,3,0,0.3916398584842682
18,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,2,0,0.3915139734745025
19,fuse-org-negation,microsoft__deberta-v3-base,full,NONE,4048,2,0,0.3915139734745025
20,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,0,0,0.8883495330810547
21,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,0,0,0.8883495330810547
22,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,1,0,0.8759493827819824
23,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,1,0,0.8759493827819824
24,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,4,0,0.8833746910095215
25,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,4,0,0.8833746910095215
26,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,3,0,0.8994975090026855
27,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,3,0,0.8994975090026855
28,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,2,0,0.8922305703163147
29,blimp-determiner_noun_agreement_with_adj_irregular_2,microsoft__deberta-v3-base,full,NONE,643,2,0,0.8922305703163147
